impression_id,winner,winning_bid,clearing_price,clicked,converted,n_bidders,all_bids
0,ValueBidder,99.36582169986018,99.36582169986018,True,False,5,ValueBidder=99.37 | PacingBidder=99.37 | CTRBidder=7.05 | ThresholdBidder=5.87 | FixedBidder=1.50
1,PacingBidder,266.068237472264,266.06823747226383,True,False,5,PacingBidder=266.07 | ValueBidder=266.07 | CTRBidder=11.53 | ThresholdBidder=9.61 | FixedBidder=1.50
2,ValueBidder,618.2302525365428,618.2302525365428,True,False,5,ValueBidder=618.23 | PacingBidder=618.23 | CTRBidder=17.58 | ThresholdBidder=14.65 | FixedBidder=1.50
3,ValueBidder,500.1329085399668,500.13290853996637,True,False,5,ValueBidder=500.13 | PacingBidder=500.13 | CTRBidder=15.81 | ThresholdBidder=13.18 | FixedBidder=1.50
4,ValueBidder,613.2648925711687,613.2648925711685,False,False,5,ValueBidder=613.26 | PacingBidder=613.26 | CTRBidder=17.51 | ThresholdBidder=14.59 | FixedBidder=1.50
5,ValueBidder,199.3078025078742,199.3078025078741,True,False,5,ValueBidder=199.31 | PacingBidder=199.31 | CTRBidder=9.98 | ThresholdBidder=8.32 | FixedBidder=1.50
6,ValueBidder,273.51260675854087,273.5126067585408,True,False,5,ValueBidder=273.51 | PacingBidder=273.51 | CTRBidder=11.69 | ThresholdBidder=9.75 | FixedBidder=1.50
7,PacingBidder,332.03192795018475,332.03192795018447,False,False,5,PacingBidder=332.03 | ValueBidder=332.03 | CTRBidder=12.88 | ThresholdBidder=10.74 | FixedBidder=1.50
8,ValueBidder,362.61972863147264,362.6197286314725,False,False,5,ValueBidder=362.62 | PacingBidder=362.62 | CTRBidder=13.47 | ThresholdBidder=11.22 | FixedBidder=1.50
9,ValueBidder,400.3477515248325,400.3477515248325,False,False,5,ValueBidder=400.35 | PacingBidder=400.35 | CTRBidder=14.15 | ThresholdBidder=11.79 | FixedBidder=1.50
10,PacingBidder,399.0441388341955,399.0441388341954,True,False,5,PacingBidder=399.04 | ValueBidder=399.04 | CTRBidder=14.13 | ThresholdBidder=11.77 | FixedBidder=1.50
11,ValueBidder,478.39866736403303,478.39866736403286,True,False,5,ValueBidder=478.40 | PacingBidder=478.40 | CTRBidder=15.47 | ThresholdBidder=12.89 | FixedBidder=1.50
12,ValueBidder,341.16120749313944,341.1612074931391,True,False,5,ValueBidder=341.16 | PacingBidder=341.16 | CTRBidder=13.06 | ThresholdBidder=10.88 | FixedBidder=1.50
13,ValueBidder,520.8633787483416,520.8633787483416,True,True,5,ValueBidder=520.86 | PacingBidder=520.86 | CTRBidder=16.14 | ThresholdBidder=13.45 | FixedBidder=1.50
14,PacingBidder,500.4295891271627,500.4295891271625,True,False,5,PacingBidder=500.43 | ValueBidder=500.43 | CTRBidder=15.82 | ThresholdBidder=13.18 | FixedBidder=1.50
15,ValueBidder,492.34787534602793,492.3478753460277,False,False,5,ValueBidder=492.35 | PacingBidder=492.35 | CTRBidder=15.69 | ThresholdBidder=13.07 | FixedBidder=1.50
16,PacingBidder,250.78147612030693,250.7814761203067,False,False,5,PacingBidder=250.78 | ValueBidder=250.78 | CTRBidder=11.20 | ThresholdBidder=9.33 | FixedBidder=1.50
17,ValueBidder,239.19425543157087,239.19425543157075,False,False,5,ValueBidder=239.19 | PacingBidder=239.19 | CTRBidder=10.94 | ThresholdBidder=9.11 | FixedBidder=1.50
18,ValueBidder,535.2392755799426,535.2392755799426,True,False,5,ValueBidder=535.24 | PacingBidder=535.24 | CTRBidder=16.36 | ThresholdBidder=13.63 | FixedBidder=1.50
19,ValueBidder,292.48803626085237,292.4880362608522,False,False,5,ValueBidder=292.49 | PacingBidder=292.49 | CTRBidder=12.09 | ThresholdBidder=10.08 | FixedBidder=1.50
20,PacingBidder,478.04788201631374,478.0478820163133,True,False,5,PacingBidder=478.05 | ValueBidder=478.05 | CTRBidder=15.46 | ThresholdBidder=12.88 | FixedBidder=1.50
21,PacingBidder,580.3846047170699,580.3846047170694,False,False,5,PacingBidder=580.38 | ValueBidder=580.38 | CTRBidder=17.04 | ThresholdBidder=14.20 | FixedBidder=1.50
22,PacingBidder,191.17185837332948,191.17185837332937,False,False,5,PacingBidder=191.17 | ValueBidder=191.17 | CTRBidder=9.78 | ThresholdBidder=8.15 | FixedBidder=1.50
23,ValueBidder,475.668906556348,475.66890655634785,True,False,5,ValueBidder=475.67 | PacingBidder=475.67 | CTRBidder=15.42 | ThresholdBidder=12.85 | FixedBidder=1.50
24,PacingBidder,460.26130350737066,460.26130350737026,True,False,5,PacingBidder=460.26 | ValueBidder=460.26 | CTRBidder=15.17 | ThresholdBidder=12.64 | FixedBidder=1.50
25,ValueBidder,234.8157008199111,234.81570081991106,False,False,5,ValueBidder=234.82 | PacingBidder=234.82 | CTRBidder=10.84 | ThresholdBidder=9.03 | FixedBidder=1.50
26,ValueBidder,629.1486985365832,629.1486985365832,False,False,5,ValueBidder=629.15 | PacingBidder=629.15 | CTRBidder=17.74 | ThresholdBidder=14.78 | FixedBidder=1.50
